,date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,state,county,city,latitude,longitude,notes,fatalities,days_since_last
1,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,City of Minsk,Minsk,53.9000,27.5667,"On 15 January 2021, people protested across Minsk, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
2,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Pruzhany,Pruzhany,52.5560,24.4573,"On 15 January 2021, people protested in Pruzhany, demanding new elections and the stopping of violence. [size=no report]",0,-1 days +00:00:00.000000000
3,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Dzyarzhynsk,Dzyarzhynsk,53.6832,27.1380,"On 15 January 2021, people protested in Dzyarzhynsk, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
4,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Grodno,Lida,Byarozawka,53.7214,25.4986,"On 15 January 2021, people protested in Byarozawka, demanding new elections. [size=no report]",0,-1 days +00:00:00.000000000
5,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Mogilev,Kruhlaye,Kruhlaye,54.2497,29.7968,"On 15 January 2021, people protested in Kruhlaye, demanding the release of a political prisoner. [size=no report]",0,-35 days +00:00:00.000000000
6,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Vitebsk,Vitebsk,Vitebsk,55.1904,30.2049,"On 15 January 2021, people protested in Vitebsk, demanding new elections. [size=no report]",0,-5 days +00:00:00.000000000
7,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),Labour Group (Belarus),Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Salihorsk,Salihorsk,52.7876,27.5415,"On 15 January 2021, pensioners protested in Salihorsk against the Lukashenko regime. [size=no report]",0,-6 days +00:00:00.000000000
8,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Maladzyechna,Maladzyechna,54.3167,26.8540,"On 15 January 2021, people protested in Maladzyechna, demanding new elections. [size=no report]",0,-5 days +00:00:00.000000000
9,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Minsk,Barysaw,Barysaw,54.2279,28.5050,"On 15 January 2021, people protested in Barysaw, condemning police violence. [size=no report]",0,-15 days +00:00:00.000000000
10,2021-01-15,Protests,Peaceful protest,Protesters (Belarus),,Protesters,,,NaN,SOLE PROTESTER ACTION,Brest,Baranovichy,Baranovichi,53.1327,26.0139,"On 15 January 2021, people protested in Baranovichi in support of the Belarusians protesting in Russia. [size=no report]",0,-2 days +00:00:00.000000000
