date,corrected,state
2020-05-04,0.0176,Alabama
2020-05-04,0.022,Alaska
2020-05-04,0.0164,Arizona
2020-05-04,0.0116,Arkansas
2020-05-04,0.0312,California
2020-05-04,0.0236,Colorado
2020-05-04,0.018,Connecticut
2020-05-04,0.0276,Delaware
2020-05-04,0.0188,Florida
2020-05-04,0.014,Georgia
2020-05-04,0.0336,Hawaii
2020-05-04,0.018,Idaho
2020-05-04,0.0276,Illinois
2020-05-04,0.0148,Indiana
2020-05-04,0.0108,Iowa
2020-05-04,0.0188,Kansas
2020-05-04,0.0168,Kentucky
2020-05-04,0.0144,Louisiana
2020-05-04,0.0232,Maine
2020-05-04,0.0232,Maryland
2020-05-04,0.04,Massachusetts
2020-05-04,0.0348,Michigan
2020-05-04,0.0228,Minnesota
2020-05-04,0.0148,Mississippi
2020-05-04,0.0152,Missouri
2020-05-04,0.0344,Montana
2020-05-04,0.014,Nebraska
2020-05-04,0.0196,Nevada
2020-05-04,0.0204,New Hampshire
2020-05-04,0.0212,New Jersey
2020-05-04,0.0164,New Mexico
2020-05-04,0.0172,New York
2020-05-04,0.0196,North Carolina
2020-05-04,0.0264,North Dakota
2020-05-04,0.0192,Ohio
2020-05-04,0.0164,Oklahoma
2020-05-04,0.0296,Oregon
2020-05-04,0.024,Pennsylvania
2020-05-04,0.0144,Rhode Island
2020-05-04,0.0132,South Carolina
2020-05-04,0.0084,South Dakota
2020-05-04,0.0116,Tennessee
2020-05-04,0.0236,Texas
2020-05-04,0.0112,Utah
2020-05-04,0.0292,Vermont
2020-05-04,0.0252,Virginia
2020-05-04,0.0236,Washington
2020-05-04,0.0224,West Virginia
2020-05-04,0.0212,Wisconsin
2020-05-04,0.026,Wyoming
2020-05-11,0.0032,Alabama
2020-05-11,0.0,Alaska
2020-05-11,0.006,Arizona
2020-05-11,0.0044,Arkansas
2020-05-11,0.0108,California
2020-05-11,0.0128,Colorado
2020-05-11,0.0076,Connecticut
2020-05-11,0.0156,Delaware
2020-05-11,0.0084,Florida
2020-05-11,0.0052,Georgia
2020-05-11,0.01,Hawaii
2020-05-11,0.0048,Idaho
2020-05-11,0.0088,Illinois
2020-05-11,0.008,Indiana
2020-05-11,0.0064,Iowa
2020-05-11,0.0068,Kansas
2020-05-11,0.0072,Kentucky
2020-05-11,0.0052,Louisiana
2020-05-11,0.0096,Maine
2020-05-11,0.0108,Maryland
2020-05-11,0.0112,Massachusetts
2020-05-11,0.04,Michigan
2020-05-11,0.0128,Minnesota
2020-05-11,0.0028,Mississippi
2020-05-11,0.0068,Missouri
2020-05-11,0.0124,Montana
2020-05-11,0.0056,Nebraska
2020-05-11,0.0104,Nevada
2020-05-11,0.0076,New Hampshire
2020-05-11,0.0092,New Jersey
2020-05-11,0.0088,New Mexico
2020-05-11,0.0104,New York
2020-05-11,0.0092,North Carolina
2020-05-11,0.0048,North Dakota
2020-05-11,0.0084,Ohio
2020-05-11,0.0044,Oklahoma
2020-05-11,0.0128,Oregon
2020-05-11,0.0116,Pennsylvania
2020-05-11,0.01,Rhode Island
2020-05-11,0.0064,South Carolina
2020-05-11,0.0176,South Dakota
2020-05-11,0.0052,Tennessee
2020-05-11,0.0132,Texas
2020-05-11,0.0036,Utah
2020-05-11,0.0052,Vermont
2020-05-11,0.01,Virginia
2020-05-11,0.0116,Washington
2020-05-11,0.0168,West Virginia
2020-05-11,0.008,Wisconsin
2020-05-11,0.0132,Wyoming
2020-05-18,0.0032,Alabama
2020-05-18,0.0094,Alaska
2020-05-18,0.0056,Arizona
2020-05-18,0.0022,Arkansas
2020-05-18,0.0098,California
2020-05-18,0.0084,Colorado
2020-05-18,0.0118,Connecticut
2020-05-18,0.0066,Delaware
2020-05-18,0.0054,Florida
2020-05-18,0.0032,Georgia
2020-05-18,0.0094,Hawaii
2020-05-18,0.0054,Idaho
2020-05-18,0.0076,Illinois
2020-05-18,0.005,Indiana
2020-05-18,0.006,Iowa
2020-05-18,0.0034,Kansas
2020-05-18,0.009,Kentucky
2020-05-18,0.0036,Louisiana
2020-05-18,0.008,Maine
2020-05-18,0.0104,Maryland
2020-05-18,0.0088,Massachusetts
2020-05-18,0.0174,Michigan
2020-05-18,0.0092,Minnesota
2020-05-18,0.0016,Mississippi
2020-05-18,0.005,Missouri
2020-05-18,0.0058,Montana
2020-05-18,0.0026,Nebraska
2020-05-18,0.005,Nevada
2020-05-18,0.0142,New Hampshire
2020-05-18,0.0088,New Jersey
2020-05-18,0.0082,New Mexico
2020-05-18,0.0074,New York
2020-05-18,0.0036,North Carolina
2020-05-18,0.0108,North Dakota
2020-05-18,0.0044,Ohio
2020-05-18,0.005,Oklahoma
2020-05-18,0.0086,Oregon
2020-05-18,0.0076,Pennsylvania
2020-05-18,0.008,Rhode Island
2020-05-18,0.0052,South Carolina
2020-05-18,0.005,South Dakota
2020-05-18,0.0038,Tennessee
2020-05-18,0.01,Texas
2020-05-18,0.0042,Utah
2020-05-18,0.0058,Vermont
2020-05-18,0.008,Virginia
2020-05-18,0.007,Washington
2020-05-18,0.0052,West Virginia
2020-05-18,0.0076,Wisconsin
2020-05-18,0.0074,Wyoming
2020-05-25,0.20931428571428567,Alabama
2020-05-25,0.20365714285714284,Alaska
2020-05-25,0.30548571428571425,Arizona
2020-05-25,0.2489142857142857,Arkansas
2020-05-25,0.4582285714285714,California
2020-05-25,0.3450857142857143,Colorado
2020-05-25,0.20365714285714284,Connecticut
2020-05-25,0.33377142857142855,Delaware
2020-05-25,0.2658857142857143,Florida
2020-05-25,0.3281142857142857,Georgia
2020-05-25,0.20365714285714284,Hawaii
2020-05-25,0.23194285714285715,Idaho
2020-05-25,0.38468571428571424,Illinois
2020-05-25,0.30548571428571425,Indiana
2020-05-25,0.24325714285714284,Iowa
2020-05-25,0.2149714285714286,Kansas
2020-05-25,0.2772,Kentucky
2020-05-25,0.1866857142857143,Louisiana
2020-05-25,0.20931428571428567,Maine
2020-05-25,0.2376,Maryland
2020-05-25,0.3111428571428571,Massachusetts
2020-05-25,0.3281142857142857,Michigan
2020-05-25,0.5657142857142857,Minnesota
2020-05-25,0.13577142857142857,Mississippi
