State,giniCoefficient,Pop2020,PopGrowthfrom2018,PopDensity,WhitePerc,BlackPerc,NativePerc,AsianPerc,IslanderPerc,OtherRacePerc,TwoOrMoreRacesPerc,MedianAge,AvgHouseholdIncome,incomeTax,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost,UnemploymentRate,RealGDP2019,votesTrump_percent2020,votesBiden_percent,VEP Turnout Rate (Total Ballots Counted),HomicideRate2017(per100k),TotalHomicides2017,TrumpApproval_perc,TrumpDisapproval_perc,TrumpnetChangeSinceOffice_perc,BachelorsDegreeHolders2018_perc,Age0-18_perc,Age19-25_perc,Age26-34_perc,Age35-54_perc,Age55-64_perc,Age65+_perc,NrLawEnforcementAgencies,TotalLawEnforcementEmployees_per1000,ACLEDProtestCount,HealthInsuranceCoverageByEmployer,HealthInsuranceCoverageByMedicaid,HealthInsuranceCoverageByMedicare,Uninsured,LifeExpectancyAtBirth_years,HealthSpendingperCapita,ACLEDViolentProtestCount
Alabama,47.69,4908620.0,0.0042,96.9221,0.6819,0.2658,0.0053,0.0133,0.0004,0.0144,0.0188,38.9,67243.0,5.0,89.3,97.4,71.5,103.3,88.6,90.8,0.044,200829.4,0.622,0.3670000000000001,0.631,0.129,602.0,0.62,0.34,-0.08,0.279,0.237,0.087,0.115,0.251,0.135,0.175,314.0,3.86,281,0.472,0.195,0.16,0.097,75.5,7281.0,30.0
Alaska,41.74,734002.0,-0.0047,1.2863,0.6484,0.0327,0.1444,0.063,0.012,0.0149,0.0846,34.0,96499.0,0.0,129.9,134.2,133.9,154.2,130.8,150.9,0.081,53255.2,0.531,0.43,0.688,0.106,78.0,0.51,0.46,-0.19,0.294,0.259,0.09300000000000001,0.139,0.24600000000000002,0.132,0.13,38.0,2.71,82,0.484,0.213,0.1,0.115,78.8,11064.0,0.0
Arizona,46.82,7378490.0,0.0288,64.9549,0.7722,0.0439,0.0446,0.0329,0.002,0.0679,0.0364,37.4,77221.0,4.54,97.0,96.9,91.7,107.4,109.6,94.7,0.078,323597.6,0.491,0.494,0.659,0.066,441.0,0.49,0.48,-0.19,0.298,0.24,0.09300000000000001,0.121,0.24100000000000002,0.124,0.182,118.0,3.17,269,0.451,0.21,0.161,0.111,79.9,6452.0,54.0
Arkansas,47.08,3039000.0,0.0084,58.403,0.77,0.1541,0.0067,0.0147,0.0027,0.0264,0.0254,37.9,64272.0,6.9,86.9,92.0,73.9,91.8,83.6,85.6,0.062,117447.1,0.624,0.348,0.561,0.098,278.0,0.54,0.43,-0.19,0.257,0.247,0.087,0.115,0.248,0.131,0.17300000000000001,298.0,3.61,148,0.42,0.262,0.159,0.091,76.0,7408.0,19.0
California,48.8,39937500.0,0.0096,256.3728,0.601,0.0579,0.0076,0.1432,0.0039,0.1383,0.0481,36.3,101493.0,12.3,151.7,121.4,227.3,117.7,138.9,114.5,0.08199999999999999,2800505.4,0.343,0.635,0.685,0.051,2022.0,0.34,0.62,-0.22,0.369,0.237,0.092,0.13699999999999998,0.263,0.12300000000000001,0.149,469.0,3.59,2575,0.48,0.253,0.114,0.078,81.3,7549.0,307.0
Colorado,45.9,5845530.0,0.0263,56.4012,0.8417,0.0412,0.0099,0.0312,0.0015,0.0388,0.0357,36.6,92520.0,4.63,105.6,102.5,119.0,88.4,101.2,102.9,0.064,356280.2,0.419,0.5539999999999999,0.764,0.046,261.0,0.42,0.55,-0.14,0.435,0.231,0.08900000000000001,0.141,0.265,0.126,0.14800000000000002,237.0,3.31,405,0.534,0.168,0.128,0.078,80.5,6804.0,55.0
Connecticut,49.47,3563080.0,-0.0027,735.8695,0.7636,0.1056,0.0027,0.0443,0.0003,0.0517,0.0317,40.8,109693.0,6.99,127.7,114.2,144.7,128.1,111.8,113.7,0.08199999999999999,251329.8,0.392,0.593,0.715,0.032,109.0,0.4,0.57,-0.22,0.446,0.217,0.086,0.113,0.259,0.14800000000000002,0.177,104.0,2.58,383,0.529,0.215,0.141,0.059,80.9,9859.0,13.0
Delaware,44.88,982895.0,0.0163,504.3073,0.6897,0.2211,0.0036,0.0387,0.0005,0.019,0.0274,40.2,86962.0,6.6,108.1,113.4,98.2,96.5,107.0,101.6,0.051,64319.3,0.398,0.588,0.7070000000000001,0.069,63.0,0.43,0.53,-0.18,0.317,0.218,0.081,0.11800000000000001,0.242,0.14400000000000002,0.19699999999999998,54.0,3.52,86,0.4970000000000001,0.204,0.173,0.066,78.7,10254.0,10.0
Florida,48.52,21993000.0,0.0326,410.1259,0.7539,0.161,0.0028,0.0271,0.0006,0.0282,0.0263,41.9,76652.0,0.0,97.9,104.0,95.4,102.2,96.7,96.9,0.064,963255.9,0.512,0.479,0.7170000000000001,0.064,1269.0,0.5,0.47,-0.19,0.322,0.209,0.08,0.114,0.249,0.13699999999999998,0.21100000000000002,333.0,3.88,1094,0.403,0.174,0.18,0.131,80.1,8076.0,100.0
Georgia,48.16,10736100.0,0.0206,186.6726,0.5904,0.3146,0.0033,0.0391,0.0006,0.0275,0.0245,36.5,78574.0,5.75,89.2,96.9,73.8,92.4,97.6,98.5,0.057,547422.7,0.493,0.495,0.677,0.079,810.0,0.49,0.47,-0.16,0.34,0.253,0.08900000000000001,0.122,0.267,0.125,0.145,346.0,3.5,535,0.489,0.173,0.126,0.134,77.7,6587.0,69.0
